"Título de trazado: LDCapSwampHoboTRH"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C (LGR S/N: 20744890, SEN S/N: 20744890, LBL: TempC)","HR, % (LGR S/N: 20744890, SEN S/N: 20744890, LBL: %)","Acoplador separado (LGR S/N: 20744890)","Acoplador adjunto (LGR S/N: 20744890)","Host conectado (LGR S/N: 20744890)","Final de archivo (LGR S/N: 20744890)"
7002,06/08/25 09:30:00 a.m.,6.990,99.966,,,,
7003,06/08/25 10:00:00 a.m.,7.469,99.590,,,,
7004,06/08/25 10:30:00 a.m.,6.965,98.690,,,,
7005,06/08/25 11:00:00 a.m.,6.560,98.723,,,,
7006,06/08/25 11:30:00 a.m.,7.745,97.431,,,,
7007,06/08/25 12:00:00 p.m.,10.516,89.058,,,,
7008,06/08/25 12:30:00 p.m.,9.262,92.662,,,,
7009,06/08/25 01:00:00 p.m.,10.100,94.585,,,,
7010,06/08/25 01:30:00 p.m.,9.632,94.993,,,,
7011,06/08/25 02:00:00 p.m.,8.469,95.286,,,,
7012,06/08/25 02:30:00 p.m.,11.273,93.875,,,,
7013,06/08/25 03:00:00 p.m.,9.509,94.808,,,,
7014,06/08/25 03:30:00 p.m.,9.829,92.502,,,,
7015,06/08/25 04:00:00 p.m.,10.614,84.785,,,,
7016,06/08/25 04:30:00 p.m.,8.045,87.565,,,,
7017,06/08/25 05:00:00 p.m.,7.870,91.920,,,,
7018,06/08/25 05:30:00 p.m.,7.419,91.473,,,,
7019,06/08/25 06:00:00 p.m.,6.687,93.758,,,,
7020,06/08/25 06:30:00 p.m.,5.975,95.957,,,,
7021,06/08/25 07:00:00 p.m.,6.230,97.259,,,,
7022,06/08/25 07:30:00 p.m.,6.230,97.701,,,,
7023,06/08/25 08:00:00 p.m.,6.000,97.588,,,,
7024,06/08/25 08:30:00 p.m.,6.153,98.218,,,,
7025,06/08/25 09:00:00 p.m.,6.102,97.862,,,,
7026,06/08/25 09:30:00 p.m.,6.051,97.847,,,,
7027,06/08/25 10:00:00 p.m.,5.796,98.118,,,,
7028,06/08/25 10:30:00 p.m.,5.693,98.480,,,,
7029,06/08/25 11:00:00 p.m.,5.693,98.869,,,,
7030,06/08/25 11:30:00 p.m.,5.668,99.250,,,,
7031,06/09/25 12:00:00 a.m.,5.591,99.519,,,,
7032,06/09/25 12:30:00 a.m.,5.514,99.739,,,,
7033,06/09/25 01:00:00 a.m.,5.462,99.918,,,,
7034,06/09/25 01:30:00 a.m.,5.385,100.000,,,,
7035,06/09/25 02:00:00 a.m.,5.257,100.000,,,,
7036,06/09/25 02:30:00 a.m.,5.334,100.000,,,,
7037,06/09/25 03:00:00 a.m.,5.179,100.000,,,,
7038,06/09/25 03:30:00 a.m.,5.334,100.000,,,,
7039,06/09/25 04:00:00 a.m.,5.282,100.000,,,,
7040,06/09/25 04:30:00 a.m.,5.154,100.000,,,,
7041,06/09/25 05:00:00 a.m.,4.973,100.000,,,,
7042,06/09/25 05:30:00 a.m.,4.895,100.000,,,,
7043,06/09/25 06:00:00 a.m.,4.610,100.000,,,,
7044,06/09/25 06:30:00 a.m.,4.402,100.000,,,,
7045,06/09/25 07:00:00 a.m.,4.558,100.000,,,,
7046,06/09/25 07:30:00 a.m.,5.179,99.378,,,,
7047,06/09/25 08:00:00 a.m.,5.745,98.592,,,,
7048,06/09/25 08:30:00 a.m.,6.813,96.829,,,,
7049,06/09/25 09:00:00 a.m.,7.393,93.114,,,,
7050,06/09/25 09:30:00 a.m.,8.593,92.132,,,,
7051,06/09/25 10:00:00 a.m.,8.295,90.700,,,,
7052,06/09/25 10:30:00 a.m.,8.270,91.794,,,,
7053,06/09/25 11:00:00 a.m.,7.820,95.762,,,,
7054,06/09/25 11:30:00 a.m.,7.619,96.901,,,,
7055,06/09/25 12:00:00 p.m.,7.720,97.424,,,,
7056,06/09/25 12:30:00 p.m.,8.070,98.212,,,,
7057,06/09/25 01:00:00 p.m.,7.645,98.586,,,,
7058,06/09/25 01:30:00 p.m.,7.393,98.737,,,,
7059,06/09/25 02:00:00 p.m.,9.213,99.024,,,,
7060,06/09/25 02:30:00 p.m.,10.149,93.249,,,,
7061,06/09/25 03:00:00 p.m.,9.435,93.522,,,,
7062,06/09/25 03:30:00 p.m.,9.509,94.454,,,,
7063,06/09/25 04:00:00 p.m.,9.460,92.125,,,,
7064,06/09/25 04:30:00 p.m.,7.770,94.095,,,,
7065,06/09/25 05:00:00 p.m.,7.695,95.728,,,,
7066,06/09/25 05:30:00 p.m.,6.433,95.015,,,,
7067,06/09/25 06:00:00 p.m.,4.688,94.669,,,,
7068,06/09/25 06:30:00 p.m.,3.880,95.632,,,,
7069,06/09/25 07:00:00 p.m.,4.220,96.997,,,,
7070,06/09/25 07:30:00 p.m.,3.274,97.389,,,,
7071,06/09/25 08:00:00 p.m.,3.512,97.964,,,,
7072,06/09/25 08:30:00 p.m.,3.354,98.137,,,,
7073,06/09/25 09:00:00 p.m.,3.775,98.424,,,,
7074,06/09/25 09:30:00 p.m.,4.037,98.643,,,,
7075,06/09/25 10:00:00 p.m.,4.089,98.465,,,,
7076,06/09/25 10:30:00 p.m.,4.141,98.286,,,,
7077,06/09/25 11:00:00 p.m.,4.662,97.070,,,,
7078,06/09/25 11:30:00 p.m.,4.298,95.893,,,,
7079,06/10/25 12:00:00 a.m.,4.428,95.782,,,,
7080,06/10/25 12:30:00 a.m.,4.999,95.469,,,,
7081,06/10/25 01:00:00 a.m.,5.205,94.610,,,,
7082,06/10/25 01:30:00 a.m.,5.334,93.350,,,,
7083,06/10/25 02:00:00 a.m.,4.350,92.990,,,,
7084,06/10/25 02:30:00 a.m.,4.766,94.739,,,,
7085,06/10/25 03:00:00 a.m.,5.437,95.069,,,,
7086,06/10/25 03:30:00 a.m.,5.488,94.636,,,,
7087,06/10/25 04:00:00 a.m.,5.334,95.437,,,,
7088,06/10/25 04:30:00 a.m.,4.558,96.675,,,,
7089,06/10/25 05:00:00 a.m.,4.115,97.624,,,,
7090,06/10/25 05:30:00 a.m.,3.617,98.042,,,,
7091,06/10/25 06:00:00 a.m.,4.063,98.627,,,,
7092,06/10/25 06:30:00 a.m.,3.696,98.884,,,,
7093,06/10/25 07:00:00 a.m.,2.983,99.113,,,,
7094,06/10/25 07:30:00 a.m.,3.512,99.600,,,,
7095,06/10/25 08:00:00 a.m.,4.402,99.807,,,,
7096,06/10/25 08:30:00 a.m.,4.246,100.000,,,,
7097,06/10/25 09:00:00 a.m.,5.847,100.000,,,,
7098,06/10/25 09:30:00 a.m.,7.268,100.000,,,,
7099,06/10/25 10:00:00 a.m.,8.668,100.000,,,,
7100,06/10/25 10:30:00 a.m.,7.920,99.399,,,,
7101,06/10/25 11:00:00 a.m.,8.220,97.735,,,,
7102,06/10/25 11:30:00 a.m.,8.469,96.337,,,,
7103,06/10/25 12:00:00 p.m.,9.139,95.239,,,,
7104,06/10/25 12:30:00 p.m.,8.444,95.981,,,,
7105,06/10/25 01:00:00 p.m.,9.064,93.349,,,,
7106,06/10/25 01:30:00 p.m.,11.127,94.118,,,,
7107,06/10/25 02:00:00 p.m.,10.296,93.083,,,,
7108,06/10/25 02:30:00 p.m.,9.706,94.025,,,,
7109,06/10/25 03:00:00 p.m.,10.222,93.982,,,,
7110,06/10/25 03:30:00 p.m.,9.361,91.921,,,,
7111,06/10/25 04:00:00 p.m.,9.583,91.824,,,,
7112,06/10/25 04:30:00 p.m.,8.891,89.641,,,,
7113,06/10/25 05:00:00 p.m.,7.870,91.079,,,,
7114,06/10/25 05:30:00 p.m.,7.015,91.827,,,,
7115,06/10/25 06:00:00 p.m.,6.382,92.370,,,,
7116,06/10/25 06:30:00 p.m.,5.847,93.035,,,,
7117,06/10/25 07:00:00 p.m.,4.818,93.911,,,,
7118,06/10/25 07:30:00 p.m.,5.128,95.134,,,,
7119,06/10/25 08:00:00 p.m.,3.827,94.684,,,,
7120,06/10/25 08:30:00 p.m.,1.913,94.558,,,,
7121,06/10/25 09:00:00 p.m.,3.775,97.116,,,,
7122,06/10/25 09:30:00 p.m.,3.827,97.665,,,,
7123,06/10/25 10:00:00 p.m.,3.985,98.000,,,,
7124,06/10/25 10:30:00 p.m.,4.973,98.229,,,,
7125,06/10/25 11:00:00 p.m.,6.026,97.399,,,,
7126,06/10/25 11:30:00 p.m.,5.847,96.662,,,,
7127,06/11/25 12:00:00 a.m.,5.360,96.085,,,,
7128,06/11/25 12:30:00 a.m.,4.011,95.496,,,,
7129,06/11/25 01:00:00 a.m.,4.402,96.827,,,,
7130,06/11/25 01:30:00 a.m.,4.662,97.070,,,,
7131,06/11/25 02:00:00 a.m.,3.775,96.630,,,,
7132,06/11/25 02:30:00 a.m.,3.854,96.919,,,,
7133,06/11/25 03:00:00 a.m.,3.564,96.498,,,,
7134,06/11/25 03:30:00 a.m.,2.182,96.116,,,,
7135,06/11/25 04:00:00 a.m.,2.717,97.451,,,,
7136,06/11/25 04:30:00 a.m.,4.324,98.192,,,,
7137,06/11/25 05:00:00 a.m.,4.869,98.540,,,,
7138,06/11/25 05:30:00 a.m.,5.128,98.710,,,,
7139,06/11/25 06:00:00 a.m.,4.584,98.653,,,,
7140,06/11/25 06:30:00 a.m.,5.308,98.857,,,,
7141,06/11/25 07:00:00 a.m.,6.153,98.560,,,,
7142,06/11/25 07:30:00 a.m.,6.509,98.269,,,,
7143,06/11/25 08:00:00 a.m.,7.116,97.233,,,,
7144,06/11/25 08:30:00 a.m.,9.361,95.122,,,,
7145,06/11/25 09:00:00 a.m.,10.492,91.645,,,,
7146,06/11/25 09:30:00 a.m.,11.224,82.757,,,,
7147,06/11/25 10:00:00 a.m.,12.098,81.955,,,,
7148,06/11/25 10:30:00 a.m.,13.185,81.080,,,,
7149,06/11/25 11:00:00 a.m.,14.002,77.839,,,,
7150,06/11/25 11:30:00 a.m.,13.810,80.560,,,,
7151,06/11/25 12:00:00 p.m.,16.201,71.038,,,,
7152,06/11/25 12:30:00 p.m.,17.558,67.807,,,,
7153,06/11/25 01:00:00 p.m.,17.843,63.755,,,,
7154,06/11/25 01:30:00 p.m.,16.868,62.399,,,,
7155,06/11/25 02:00:00 p.m.,15.079,71.283,,,,
7156,06/11/25 02:30:00 p.m.,17.653,61.693,,,,
7157,06/11/25 03:00:00 p.m.,18.057,58.625,,,,
7158,06/11/25 03:30:00 p.m.,17.463,56.192,,,,
7159,06/11/25 04:00:00 p.m.,15.485,59.754,,,,
7160,06/11/25 04:30:00 p.m.,10.492,69.836,,,,
7161,06/11/25 05:00:00 p.m.,8.618,78.066,,,,
7162,06/11/25 05:30:00 p.m.,8.817,82.664,,,,
7163,06/11/25 06:00:00 p.m.,8.120,82.664,,,,
7164,06/11/25 06:30:00 p.m.,6.661,85.746,,,,
7165,06/11/25 07:00:00 p.m.,5.488,88.892,,,,
7166,06/11/25 07:30:00 p.m.,5.462,91.980,,,,
7167,06/11/25 08:00:00 p.m.,5.385,93.264,,,,
7168,06/11/25 08:30:00 p.m.,5.462,94.331,,,,
7169,06/11/25 09:00:00 p.m.,5.437,95.019,,,,
7170,06/11/25 09:30:00 p.m.,5.437,95.712,,,,
7171,06/11/25 10:00:00 p.m.,5.821,96.310,,,,
7172,06/11/25 10:30:00 p.m.,5.872,96.718,,,,
7173,06/11/25 11:00:00 p.m.,5.437,96.942,,,,
7174,06/11/25 11:30:00 p.m.,4.844,97.096,,,,
7175,06/12/25 12:00:00 a.m.,4.714,97.524,,,,
7176,06/12/25 12:30:00 a.m.,5.102,97.803,,,,
7177,06/12/25 01:00:00 a.m.,4.350,97.836,,,,
7178,06/12/25 01:30:00 a.m.,3.985,98.000,,,,
7179,06/12/25 02:00:00 a.m.,3.617,98.235,,,,
7180,06/12/25 02:30:00 a.m.,3.696,98.450,,,,
7181,06/12/25 03:00:00 a.m.,3.643,98.677,,,,
7182,06/12/25 03:30:00 a.m.,3.248,98.613,,,,
7183,06/12/25 04:00:00 a.m.,2.877,98.843,,,,
7184,06/12/25 04:30:00 a.m.,3.089,99.072,,,,
7185,06/12/25 05:00:00 a.m.,3.354,99.315,,,,
7186,06/12/25 05:30:00 a.m.,3.722,99.372,,,,
7187,06/12/25 06:00:00 a.m.,3.854,99.458,,,,
7188,06/12/25 06:30:00 a.m.,4.141,99.588,,,,
7189,06/12/25 07:00:00 a.m.,4.636,99.681,,,,
7190,06/12/25 07:30:00 a.m.,5.693,99.839,,,,
7191,06/12/25 08:00:00 a.m.,6.255,99.950,,,,
7192,06/12/25 08:30:00 a.m.,7.720,100.000,,,,
7193,06/12/25 09:00:00 a.m.,8.693,99.617,,,,
7194,06/12/25 09:30:00 a.m.,9.485,97.537,,,,
7195,06/12/25 10:00:00 a.m.,9.731,95.372,,,,
7196,06/12/25 10:30:00 a.m.,10.296,95.169,,,,
7197,06/12/25 11:00:00 a.m.,13.064,90.343,,,,
7198,06/12/25 11:30:00 a.m.,12.364,83.664,,,,
7199,06/12/25 12:00:00 p.m.,11.710,85.175,,,,
7200,06/12/25 12:30:00 p.m.,12.050,84.558,,,,
7201,06/12/25 01:00:00 p.m.,14.601,74.630,,,,
7202,06/12/25 01:30:00 p.m.,15.939,70.585,,,,
7203,06/12/25 02:00:00 p.m.,14.146,70.274,,,,
7204,06/12/25 02:30:00 p.m.,14.026,72.987,,,,
7205,06/12/25 03:00:00 p.m.,14.314,70.478,,,,
7206,06/12/25 03:30:00 p.m.,11.443,79.359,,,,
7207,06/12/25 04:00:00 p.m.,10.956,79.608,,,,
7208,06/12/25 04:30:00 p.m.,9.756,82.557,,,,
7209,06/12/25 05:00:00 p.m.,8.568,83.989,,,,
7210,06/12/25 05:30:00 p.m.,8.120,86.096,,,,
7211,06/12/25 06:00:00 p.m.,6.864,87.587,,,,
7212,06/12/25 06:30:00 p.m.,5.949,89.468,,,,
7213,06/12/25 07:00:00 p.m.,4.558,90.486,,,,
7214,06/12/25 07:30:00 p.m.,3.670,92.462,,,,
7215,06/12/25 08:00:00 p.m.,3.116,93.703,,,,
7216,06/12/25 08:30:00 p.m.,2.182,94.337,,,,
7217,06/12/25 09:00:00 p.m.,2.690,95.600,,,,
7218,06/12/25 09:30:00 p.m.,2.690,96.135,,,,
7219,06/12/25 10:00:00 p.m.,2.423,96.547,,,,
7220,06/12/25 10:30:00 p.m.,2.289,96.800,,,,
7221,06/12/25 11:00:00 p.m.,2.423,97.031,,,,
7222,06/12/25 11:30:00 p.m.,2.289,97.283,,,,
7223,06/13/25 12:00:00 a.m.,1.967,97.698,,,,
7224,06/13/25 12:30:00 a.m.,1.371,97.506,,,,
7225,06/13/25 01:00:00 a.m.,0.880,97.750,,,,
7226,06/13/25 01:30:00 a.m.,0.632,97.919,,,,
7227,06/13/25 02:00:00 a.m.,1.534,98.557,,,,
7228,06/13/25 02:30:00 a.m.,2.182,98.574,,,,
7229,06/13/25 03:00:00 a.m.,2.209,98.749,,,,
7230,06/13/25 03:30:00 a.m.,2.930,99.002,,,,
7231,06/13/25 04:00:00 a.m.,3.433,99.194,,,,
7232,06/13/25 04:30:00 a.m.,3.406,99.282,,,,
7233,06/13/25 05:00:00 a.m.,3.670,99.453,,,,
7234,06/13/25 05:30:00 a.m.,3.801,99.539,,,,
7235,06/13/25 06:00:00 a.m.,3.617,99.438,,,,
7236,06/13/25 06:30:00 a.m.,3.248,99.620,,,,
7237,06/13/25 07:00:00 a.m.,3.538,99.895,,,,
7238,06/13/25 07:30:00 a.m.,4.947,100.000,,,,
7239,06/13/25 08:00:00 a.m.,6.102,100.000,,,,
7240,06/13/25 08:30:00 a.m.,7.066,100.000,,,,
7241,06/13/25 09:00:00 a.m.,7.519,99.921,,,,
7242,06/13/25 09:30:00 a.m.,7.670,99.182,,,,
7243,06/13/25 10:00:00 a.m.,8.419,98.062,,,,
7244,06/13/25 10:30:00 a.m.,9.731,94.741,,,,
7245,06/13/25 11:00:00 a.m.,11.856,84.674,,,,
7246,06/13/25 11:30:00 a.m.,12.799,81.350,,,,
7247,06/13/25 12:00:00 p.m.,13.473,76.810,,,,
7248,06/13/25 12:30:00 p.m.,12.461,79.553,,,,
7249,06/13/25 01:00:00 p.m.,13.738,76.279,,,,
7250,06/13/25 01:30:00 p.m.,13.064,75.749,,,,
7251,06/13/25 02:00:00 p.m.,12.413,76.838,,,,
7252,06/13/25 02:30:00 p.m.,11.759,78.027,,,,
7253,06/13/25 03:00:00 p.m.,13.642,73.788,,,,
7254,06/13/25 03:30:00 p.m.,12.799,76.363,,,,
7255,06/13/25 04:00:00 p.m.,11.686,83.884,,,,
7256,06/13/25 04:30:00 p.m.,11.078,84.813,,,,
7257,06/13/25 05:00:00 p.m.,10.614,85.290,,,,
7258,06/13/25 05:30:00 p.m.,9.608,87.109,,,,
7259,06/13/25 06:00:00 p.m.,8.643,89.424,,,,
7260,06/13/25 06:30:00 p.m.,7.920,90.989,,,,
7261,06/13/25 07:00:00 p.m.,7.594,92.686,,,,
7262,06/13/25 07:30:00 p.m.,7.368,93.989,,,,
7263,06/13/25 08:00:00 p.m.,7.192,94.944,,,,
7264,06/13/25 08:30:00 p.m.,6.914,95.468,,,,
7265,06/13/25 09:00:00 p.m.,6.763,95.924,,,,
7266,06/13/25 09:30:00 p.m.,5.796,95.612,,,,
7267,06/13/25 10:00:00 p.m.,4.999,96.183,,,,
7268,06/13/25 10:30:00 p.m.,3.485,95.964,,,,
7269,06/13/25 11:00:00 p.m.,2.823,96.464,,,,
7270,06/13/25 11:30:00 p.m.,3.168,97.190,,,,
7271,06/14/25 12:00:00 a.m.,3.380,97.661,,,,
7272,06/14/25 12:30:00 a.m.,3.221,97.931,,,,
7273,06/14/25 01:00:00 a.m.,3.168,98.060,,,,
7274,06/14/25 01:30:00 a.m.,2.717,98.078,,,,
7275,06/14/25 02:00:00 a.m.,2.690,98.166,,,,
7276,06/14/25 02:30:00 a.m.,2.503,98.282,,,,
7277,06/14/25 03:00:00 a.m.,2.664,98.447,,,,
7278,06/14/25 03:30:00 a.m.,1.940,98.385,,,,
7279,06/14/25 04:00:00 a.m.,2.289,98.580,,,,
7280,06/14/25 04:30:00 a.m.,1.643,98.731,,,,
7281,06/14/25 05:00:00 a.m.,1.859,98.912,,,,
7282,06/14/25 05:30:00 a.m.,2.343,99.169,,,,
7283,06/14/25 06:00:00 a.m.,3.009,99.408,,,,
7284,06/14/25 06:30:00 a.m.,3.958,99.584,,,,
7285,06/14/25 07:00:00 a.m.,4.272,99.625,,,,
7286,06/14/25 07:30:00 a.m.,4.246,99.762,,,,
7287,06/14/25 08:00:00 a.m.,4.037,99.798,,,,
7288,06/14/25 08:30:00 a.m.,4.558,99.900,,,,
7289,06/14/25 09:00:00 a.m.,6.661,100.000,,,,
7290,06/14/25 09:30:00 a.m.,8.891,100.000,,,,
7291,06/14/25 10:00:00 a.m.,11.029,100.000,,,,
7292,06/14/25 10:30:00 a.m.,12.413,98.566,,,,
7293,06/14/25 11:00:00 a.m.,15.270,90.046,,,,
7294,06/14/25 11:30:00 a.m.,14.194,83.649,,,,
7295,06/14/25 12:00:00 p.m.,14.745,82.384,,,,
7296,06/14/25 12:30:00 p.m.,13.930,82.202,,,,
7297,06/14/25 01:00:00 p.m.,13.690,79.489,,,,
7298,06/14/25 01:30:00 p.m.,13.786,78.791,,,,
7299,06/14/25 02:00:00 p.m.,13.738,78.449,,,,
7300,06/14/25 02:30:00 p.m.,15.318,71.845,,,,
7301,06/14/25 03:00:00 p.m.,13.522,78.956,,,,
7302,06/14/25 03:30:00 p.m.,12.340,81.275,,,,
7303,06/14/25 04:00:00 p.m.,11.151,86.319,,,,
7304,06/14/25 04:30:00 p.m.,10.541,86.227,,,,
7305,06/14/25 05:00:00 p.m.,9.064,89.270,,,,
7306,06/14/25 05:30:00 p.m.,8.419,90.706,,,,
7307,06/14/25 06:00:00 p.m.,7.343,91.199,,,,
7308,06/14/25 06:30:00 p.m.,6.331,92.660,,,,
7309,06/14/25 07:00:00 p.m.,5.462,93.509,,,,
7310,06/14/25 07:30:00 p.m.,5.154,94.472,,,,
7311,06/14/25 08:00:00 p.m.,5.024,95.155,,,,
7312,06/14/25 08:30:00 p.m.,5.076,95.860,,,,
7313,06/14/25 09:00:00 p.m.,4.766,96.095,,,,
7314,06/14/25 09:30:00 p.m.,5.128,96.808,,,,
7315,06/14/25 10:00:00 p.m.,5.796,97.286,,,,
7316,06/14/25 10:30:00 p.m.,5.308,97.347,,,,
7317,06/14/25 11:00:00 p.m.,5.437,97.725,,,,
7318,06/14/25 11:30:00 p.m.,5.024,97.757,,,,
7319,06/15/25 12:00:00 a.m.,3.512,97.625,,,,
7320,06/15/25 12:30:00 a.m.,3.354,98.137,,,,
7321,06/15/25 01:00:00 a.m.,3.880,98.551,,,,
7322,06/15/25 01:30:00 a.m.,4.376,98.788,,,,
7323,06/15/25 02:00:00 a.m.,4.766,99.043,,,,
7324,06/15/25 02:30:00 a.m.,3.564,98.678,,,,
7325,06/15/25 03:00:00 a.m.,2.983,99.185,,,,
7326,06/15/25 03:30:00 a.m.,4.063,99.518,,,,
7327,06/15/25 04:00:00 a.m.,5.205,99.651,,,,
7328,06/15/25 04:30:00 a.m.,4.921,99.618,,,,
7329,06/15/25 05:00:00 a.m.,4.610,99.674,,,,
7330,06/15/25 05:30:00 a.m.,3.195,99.365,,,,
7331,06/15/25 06:00:00 a.m.,2.557,99.755,,,,
7332,06/15/25 06:30:00 a.m.,4.818,100.000,,,,
7333,06/15/25 07:00:00 a.m.,5.334,100.000,,,,
7334,06/15/25 07:30:00 a.m.,6.153,100.000,,,,
7335,06/15/25 08:00:00 a.m.,5.872,100.000,,,,
7336,06/15/25 08:30:00 a.m.,8.170,100.000,,,,
7337,06/15/25 09:00:00 a.m.,9.879,100.000,,,,
7338,06/15/25 09:30:00 a.m.,11.175,98.076,,,,
7339,06/15/25 10:00:00 a.m.,12.485,91.347,,,,
7340,06/15/25 10:30:00 a.m.,10.369,91.433,,,,
7341,06/15/25 11:00:00 a.m.,14.409,97.236,,,,
7342,06/15/25 11:30:00 a.m.,13.185,83.690,,,,
7343,06/15/25 12:00:00 p.m.,13.690,83.859,,,,
7344,06/15/25 12:30:00 p.m.,12.847,88.527,,,,
7345,06/15/25 01:00:00 p.m.,10.638,87.542,,,,
7346,06/15/25 01:30:00 p.m.,10.418,87.515,,,,
7347,06/15/25 02:00:00 p.m.,16.534,76.688,,,,
7348,06/15/25 02:30:00 p.m.,16.344,72.902,,,,
7349,06/15/25 03:00:00 p.m.,16.344,69.361,,,,
7350,06/15/25 03:30:00 p.m.,14.290,72.215,,,,
7351,06/15/25 04:00:00 p.m.,10.394,78.804,,,,
7352,06/15/25 04:30:00 p.m.,8.270,83.999,,,,
7353,06/15/25 05:00:00 p.m.,7.167,86.883,,,,
7354,06/15/25 05:30:00 p.m.,6.128,88.694,,,,
7355,06/15/25 06:00:00 p.m.,5.488,89.403,,,,
7356,06/15/25 06:30:00 p.m.,4.246,90.507,,,,
7357,06/15/25 07:00:00 p.m.,4.506,93.629,,,,
7358,06/15/25 07:30:00 p.m.,5.385,92.863,,,,
7359,06/15/25 08:00:00 p.m.,5.179,92.333,,,,
7360,06/15/25 08:30:00 p.m.,5.565,92.409,,,,
7361,06/15/25 09:00:00 p.m.,5.334,91.544,,,,
7362,06/15/25 09:30:00 p.m.,5.385,93.563,,,,
7363,06/15/25 10:00:00 p.m.,5.488,93.066,,,,
7364,06/15/25 10:30:00 p.m.,5.231,94.468,,,,
7365,06/15/25 11:00:00 p.m.,5.205,95.501,,,,
7366,06/15/25 11:30:00 p.m.,5.411,96.321,,,,
7367,06/16/25 12:00:00 a.m.,5.282,96.826,,,,
7368,06/16/25 12:30:00 a.m.,5.128,97.150,,,,
7369,06/16/25 01:00:00 a.m.,5.179,97.653,,,,
7370,06/16/25 01:30:00 a.m.,4.089,97.884,,,,
7371,06/16/25 02:00:00 a.m.,3.142,98.053,,,,
7372,06/16/25 02:30:00 a.m.,2.503,98.306,,,,
7373,06/16/25 03:00:00 a.m.,2.477,98.706,,,,
7374,06/16/25 03:30:00 a.m.,2.530,98.984,,,,
7375,06/16/25 04:00:00 a.m.,2.930,99.122,,,,
7376,06/16/25 04:30:00 a.m.,2.930,99.290,,,,
7377,06/16/25 05:00:00 a.m.,3.089,99.479,,,,
7378,06/16/25 05:30:00 a.m.,3.142,99.590,,,,
7379,06/16/25 06:00:00 a.m.,3.168,99.645,,,,
7380,06/16/25 06:30:00 a.m.,3.854,99.794,,,,
7381,06/16/25 07:00:00 a.m.,4.454,99.918,,,,
7382,06/16/25 07:30:00 a.m.,4.350,99.984,,,,
7383,06/16/25 08:00:00 a.m.,3.195,99.939,,,,
7384,06/16/25 08:30:00 a.m.,4.246,100.000,,,,
7385,06/16/25 09:00:00 a.m.,5.642,100.000,,,,
7386,06/16/25 09:30:00 a.m.,7.116,100.000,,,,
7387,06/16/25 10:00:00 a.m.,8.270,100.000,,,,
7388,06/16/25 10:30:00 a.m.,8.916,100.000,,,,
7389,06/16/25 11:00:00 a.m.,7.870,100.000,,,,
7390,06/16/25 11:30:00 a.m.,7.368,100.000,,,,
7391,06/16/25 12:00:00 p.m.,7.066,100.000,,,,
7392,06/16/25 12:30:00 p.m.,8.519,100.000,,,,
7393,06/16/25 01:00:00 p.m.,8.519,100.000,,,,
7394,06/16/25 01:30:00 p.m.,9.312,100.000,,,,
7395,06/16/25 02:00:00 p.m.,11.565,100.000,,,,
7396,06/16/25 02:30:00 p.m.,11.734,99.654,,,,
7397,06/16/25 03:00:00 p.m.,11.734,88.071,,,,
7398,06/16/25 03:30:00 p.m.,11.929,85.866,,,,
7399,06/16/25 04:00:00 p.m.,9.114,87.878,,,,
7400,06/16/25 04:30:00 p.m.,8.419,91.679,,,,
7401,06/16/25 05:00:00 p.m.,9.089,92.337,,,,
7402,06/16/25 05:30:00 p.m.,8.020,91.729,,,,
7403,06/16/25 06:00:00 p.m.,6.611,94.489,,,,
7404,06/16/25 06:30:00 p.m.,5.924,95.745,,,,
7405,06/16/25 07:00:00 p.m.,5.488,96.465,,,,
7406,06/16/25 07:30:00 p.m.,5.179,96.969,,,,
7407,06/16/25 08:00:00 p.m.,5.539,97.705,,,,
7408,06/16/25 08:30:00 p.m.,5.334,98.111,,,,
7409,06/16/25 09:00:00 p.m.,5.462,98.366,,,,
7410,06/16/25 09:30:00 p.m.,5.539,98.631,,,,
7411,06/16/25 10:00:00 p.m.,5.308,98.785,,,,
7412,06/16/25 10:30:00 p.m.,4.740,98.939,,,,
7413,06/16/25 11:00:00 p.m.,4.558,98.936,,,,
7414,06/16/25 11:30:00 p.m.,4.610,98.854,,,,
7415,06/17/25 12:00:00 a.m.,4.506,98.824,,,,
7416,06/17/25 12:30:00 a.m.,4.714,98.738,,,,
7417,06/17/25 01:00:00 a.m.,4.636,98.522,,,,
7418,06/17/25 01:30:00 a.m.,4.532,98.396,,,,
7419,06/17/25 02:00:00 a.m.,4.662,98.287,,,,
7420,06/17/25 02:30:00 a.m.,4.714,98.181,,,,
7421,06/17/25 03:00:00 a.m.,4.610,97.836,,,,
7422,06/17/25 03:30:00 a.m.,4.973,97.108,,,,
7423,06/17/25 04:00:00 a.m.,4.947,97.247,,,,
7424,06/17/25 04:30:00 a.m.,4.947,97.003,,,,
7425,06/17/25 05:00:00 a.m.,4.688,97.273,,,,
7426,06/17/25 05:30:00 a.m.,4.818,97.162,,,,
7427,06/17/25 06:00:00 a.m.,4.844,97.803,,,,
7428,06/17/25 06:30:00 a.m.,5.076,98.501,,,,
7429,06/17/25 07:00:00 a.m.,5.488,99.005,,,,
7430,06/17/25 07:30:00 a.m.,5.719,99.240,,,,
7431,06/17/25 08:00:00 a.m.,5.975,99.289,,,,
7432,06/17/25 08:30:00 a.m.,6.712,99.473,,,,
